Wars,Year,Summary,Resource Link
Chinese Civil War,1944–1949,"The Chinese Civil War was a civil war in China fought between the Kuomintang (KMT)-led government of the Republic of China and the Communist Party of China (CPC) lasting intermittently between 1927 and 1949. Although particular attention is paid to the four years of fighting from 1945 to 1949, the war actually started in August 1927, after the KMT-CCP Alliance collapsed during the Northern Expedition. The conflict took place in two stages, the first between 1927 and 1937, and the second from 1946 to 1950; the Second Sino-Japanese War from 1937 to 1945 was an interlude in which the two sides were united against the forces of Japan. The Civil War resulted in a major revolution in China, with the Communists gaining control of mainland China and establishing the People's Republic of China (PRC) in 1949, forcing the Republic of China (ROC) to retreat to Taiwan. A lasting political and military standoff between the two sides of the Taiwan Strait ensued, with the ROC in Taiwan and the PRC in mainland China both officially claiming to be the legitimate government of all China.
To this day no armistice or peace treaty has ever been signed, and the debate continues as to whether the civil war has legally ended. Although both President Jiang Zemin of the PRC and Kuomintang in the ROC have called for a peace agreement under certain conditions, it is opposed by independence supporters in Taiwan.",https://en.wikipedia.org/wiki/Chinese_Civil_War
Greek Civil War,1944–1949,"Τhe Greek Civil War (Greek: ο Eμφύλιος [Πόλεμος], o Emfýlios [Pólemos], ""the Civil War"") was fought in Greece from 1946 to 1949 between the Greek government army — backed by the United Kingdom and the United States — and the Democratic Army of Greece (DSE) — the military branch of the Communist Party of Greece (KKE) — backed by Yugoslavia, Albania and Bulgaria. It is often considered the first proxy war of the Cold War, although the Soviet Union avoided sending aid. The fighting resulted in the defeat of the DSE by the Hellenic Army. Founded by the Communist Party of Greece and supported by neighboring and newly founded Socialist States such as Yugoslavia, Albania and Bulgaria, the Democratic Army of Greece included many personnel who had fought as partisans against German, Italian and Bulgarian occupation forces during the Second World War of 1939–1945.
The civil war resulted from a highly polarized struggle between left and right ideologies that started in 1943. From 1944 each side targeted the power vacuum resulting from the end of German-Italian occupation (1941–1945) during World War II. The struggle became one of the first conflicts of the Cold War (c. 1947 to 1989) and represents the first example of Cold War power postwar involvement in the internal politics of a foreign country. Greece in the end was funded by the US (through the Truman Doctrine and the Marshall Plan) and joined NATO (1952), while the insurgents were demoralized by the bitter split between the Soviet Union's Joseph Stalin, who wanted the war ended, and Yugoslavia's Josip Broz Tito, who wanted it to continue.
Tito was committed to helping the Greek Communists in their efforts, a stance that caused political complications with Stalin, as he had recently agreed with Winston Churchill not to support the Communists in Greece, as documented in their Percentages Agreement of October 1944.
The first signs of the civil war occurred in 1942 to 1944, during the German occupation. With the Greek government in exile unable to influence the situation at home, various resistance groups of differing political affiliations emerged, the dominant ones being the leftist National Liberation Front (EAM), and its military branch the Greek People's Liberation Army (ELAS) which was effectively controlled by the KKE. Starting in autumn 1943, friction between the EAM and the other resistance groups resulted in scattered clashes, which continued until spring 1944, when an agreement was reached forming a national unity government that included six EAM-affiliated ministers.
The immediate prelude of the civil war took place in Athens, on December 3, 1944, less than two months after the Germans had retreated from the area. After an order to disarm, leftists resigned from the government and called for resistance. A riot (the Dekemvriana) erupted and Greek government gendarmes, with British forces standing in the background, opened fire on a pro-EAM rally, killing 28 demonstrators and injuring dozens. The rally had been organised under the pretext of a demonstration against the perceived impunity of the collaborators and the general disarmament ultimatum, signed by Ronald Scobie (the British commander in Greece). The battle lasted 33 days and resulted in the defeat of the EAM. The subsequent signing of the Treaty of Varkiza (12 February 1945) spelled the end of the left-wing organization's ascendancy: the ELAS was partly disarmed while the EAM soon after lost its multi-party character, to become dominated by KKE. All the while, White Terror was unleashed against the supporters of the left, further escalating the tensions between the dominant factions of the nation.
The war erupted in 1946, when forces of former ELAS partisans who found shelter in their hideouts and were controlled by the KKE organized the DSE and its High Command headquarters. The KKE backed up the endeavor, deciding that there was no alternative way to act against the internationally recognized government that had been formed after the 1946 elections, which the KKE had boycotted. The Communists formed a provisional government in December 1947 and used the DSE as the military branch of this government. The neighboring communist states of Albania, Yugoslavia and Bulgaria offered logistical support to this provisional government, especially to the forces operating in the north of Greece.
Despite setbacks suffered by government forces from 1946 to 1948, they eventually won due to increased American aid, the failure of the DSE to attract sufficient recruits, and the side-effects of the Tito–Stalin split of 1948. The final victory of the western-allied government forces led to Greece's membership in NATO (1952) and helped to define the ideological balance of power in the Aegean Sea for the entire Cold War. The civil war also left Greece with a vehemently anti-communist security establishment, which would lead to the establishment of the Greek military junta of 1967–74 and a legacy of political polarisation that lasts until today.",https://en.wikipedia.org/wiki/Greek_Civil_War
Iran crisis of 1946,1945–1946,"The Iran crisis of 1946, also known as the Azerbaijan Crisis (Persian: غائله آذربایجان‎ translit.: Qaʾilih Âzarbâyjân) in the Iranian sources, was one of the first crises of the Cold War, sparked by the refusal of Joseph Stalin's Soviet Union to relinquish occupied Iranian territory, despite repeated assurances. The end of World War II should have resulted in the end of the Allied joint occupation of Iran. Instead, Pro-Soviet Iranians proclaimed the separatist Azerbaijan People's Government and the Kurdish separatist Republic of Mahabad. The United States pressured Soviet withdrawal in the earliest success of the new containment strategy.
As of August 1941, the United States was a neutral nation and had not yet entered as a belligerent in World War II. Therefore, the bloc known as 'The Allies' were principally (with Poland and France occupied by Germany in 1939 and 1940, respectively) the United Kingdom and the Soviet Union, recently forming their alliance after the German invasion of territories of the Western Soviet Union in June 1941. In August–September 1941, Pahlavi Iran had been jointly invaded and occupied by the Allied powers of the Soviet Red Army in the north and by the British in the centre and south. Iran was used by the Americans and the British as a transportation route to provide vital supplies to the Soviet Union's war efforts.In the aftermath of the occupation of Iran, those Allied forces agreed to withdraw from Iran within six months after the cessation of hostilities. However, when this deadline came in early 1946, the Soviets, under Joseph Stalin, remained in Iran. Soon, the alliance of the Kurdish and People's Azerbaijani forces, supported in arms and training by the Soviet Union, engaged in fighting with Iranian forces, resulting in a total of 2,000 casualties. Negotiation by Iranian premier Ahmad Qavam and diplomatic pressure on the Soviets by the United States eventually led to Soviet withdrawal and dissolution of the separatist Azeri and Kurdish states.",https://en.wikipedia.org/wiki/Iran_crisis_of_1946
First Indochina War,1946–1954,"The First Indochina War (generally known as the Indochina War in France, and as the Anti-French Resistance War in Vietnam) began in French Indochina on December 19, 1946, and lasted until July 20, 1954. Fighting between French forces and their Việt Minh opponents in the south dated from September 1945. The conflict pitted a range of forces, including the French Union's French Far East Expeditionary Corps, led by France and supported by Bảo Đại's Vietnamese National Army against the Việt Minh, led by Hồ Chí Minh and the People's Army of Vietnam led by Võ Nguyên Giáp. Most of the fighting took place in Tonkin in northern Vietnam, although the conflict engulfed the entire country and also extended into the neighboring French Indochina protectorates of Laos and Cambodia.
At the Potsdam Conference in July 1945, the Combined Chiefs of Staff decided that Indochina south of latitude 16° north was to be included in the Southeast Asia Command under British Admiral Mountbatten. Japanese forces located south of that line surrendered to him and those to the north surrendered to Generalissimo Chiang Kai-shek. In September 1945, Chinese forces entered Tonkin, and a small British task force landed at Saigon. The Chinese accepted the Vietnamese government under Hồ Chí Minh, then in power in Hanoi. The British refused to do likewise in Saigon, and deferred to the French there from the outset, against the ostensible support of the Việt Minh authorities by American OSS representatives. On V-J Day, September 2, Hồ Chí Minh had proclaimed in Hanoi the establishment of the Democratic Republic of Vietnam (DRV). The DRV ruled as the only civil government in all of Vietnam for a period of about 20 days, after the abdication of Emperor Bảo Đại, who had governed under Japanese rule. On 23 September 1945, with the knowledge of the British commander in Saigon, French forces overthrew the local DRV government, and declared French authority restored in Cochinchina. Guerrilla warfare began around Saigon immediately, but the French gradually retook control of the South and North of Indochina. Hồ Chí Minh agreed to negotiate the future status of Vietnam, but the talks, held in France, failed to produce a solution. After over one year of latent conflict, all-out war broke out in December 1946 between French and Việt Minh forces as Hồ Chí Minh and his government went underground. The French tried to stabilize Indochina by reorganizing it as a Federation of Associated States. In 1949, they put former Emperor Bảo Đại back in power, as the ruler of a newly established State of Vietnam.
The first few years of the war involved a low-level rural insurgency against the French. In 1949 the conflict turned into a conventional war between two armies equipped with modern weapons supplied by the United States, China and the Soviet Union. French Union forces included colonial troops from the whole former empire (Moroccan, Algerian, Tunisian, Laotian, Cambodian, and Vietnamese ethnic minorities), French professional troops and units of the French Foreign Legion. The use of metropolitan recruits was forbidden by the government to prevent the war from becoming even more unpopular at home. It was called the ""dirty war"" (la sale guerre) by leftists in France.The strategy of pushing the Việt Minh into attacking well-defended bases in remote parts of the country at the end of their logistical trails was validated at the Battle of Nà Sản. However, this base was relatively weak because of a lack of concrete and steel. French efforts were made more difficult due to the limited usefulness of armored tanks in a jungle environment, lack of strong air forces for air cover and carpet bombing, and use of foreign recruits from other French colonies (mainly from Algeria, Morocco and even Vietnam). Võ Nguyên Giáp, however, used efficient and novel tactics of direct fire artillery, convoy ambushes and massed anti-aircraft guns to impede land and air supply deliveries together with a strategy based on recruiting a sizable regular army facilitated by wide popular support, a guerrilla warfare doctrine and instruction developed in China, and the use of simple and reliable war material provided by the Soviet Union. This combination proved fatal for the bases' defenses, culminating in a decisive French defeat at the Battle of Dien Bien Phu.At the International Geneva Conference on July 21, 1954, the new socialist French government and the Việt Minh made an agreement which effectively gave the Việt Minh control of North Vietnam above the 17th parallel.  The south continued under Bảo Đại. The agreement was denounced by the State of Vietnam and by the United States. A year later, Bảo Đại would be deposed by his prime minister, Ngô Đình Diệm, creating the Republic of Vietnam. Soon an insurgency, backed by the north, developed against Diệm's government. The conflict gradually escalated into the Vietnam War (1955-1975).",https://en.wikipedia.org/wiki/First_Indochina_War
Paraguayan Civil War (1947),1947,"The Paraguayan Civil War, also known as the Barefoot Revolution and the Second Paraguayan Civil War, was a conflict in Paraguay that lasted from March to August 1947.",https://en.wikipedia.org/wiki/Paraguayan_Civil_War_(1947)
Malayan Emergency,1948–1960,"The Malayan Emergency (Malay: Darurat Malaya) was a guerrilla war fought in pre- and post-independence Federation of Malaya, from 1948 until 1960. The belligerents were the Commonwealth armed forces against the Malayan National Liberation Army (MNLA), the military arm of the Malayan Communist Party (MCP).
The ""Malayan Emergency"" was originally the colonial government's term for the conflict. The MNLA called it the Anti-British National Liberation War.Despite the drawdown in violence in 1960, communist leader Chin Peng renewed the insurgency against the Malaysian government in 1967; this second phase of the insurgency lasted until 1989.",https://en.wikipedia.org/wiki/Malayan_Emergency
Internal conflict in Myanmar,1948–present,"The internal conflict in Myanmar is a series of primarily ethnic conflicts within Myanmar that began shortly after the country, then known as Burma, became independent from the United Kingdom in 1948. The conflict is the world's longest ongoing civil war.",https://en.wikipedia.org/wiki/Internal_conflict_in_Myanmar
Balochistan conflict,1948–present,"The insurgency in Balochistan is a guerrilla war waged by Baloch nationalists against the governments of Pakistan and Iran in the Balochistan region, which covers Balochistan Province in southwestern Pakistan, Sistan and Baluchestan Province in southeastern Iran, and the Balochistan region of southern Afghanistan. Rich in natural resources like natural gas, oil, coal, copper, sulphur, fluoride and gold, this is the least developed province in Pakistan. Armed groups demand greater control of the province's natural resources and political autonomy. Baloch separatists have attacked civilians from other ethnicities in the province. In the 2010s, attacks against the Shia community by sectarian groups—though not always directly related to the political struggle—have risen, contributing to tensions in Balochistan.In Pakistan's Balochistan province, insurgencies by Baloch nationalists have been fought in 1948, 1958–59, 1962–63 and 1973–77, with an ongoing and reportedly stronger, broader insurgency beginning in 2003.This insurgency has begun to weaken. In an article titled ""The End of Pakistan's Baloch Insurgency"" Baloch analyst Malik Siraj Akbar reported that Baloch militants began killing their own commanders. However, Akbar called anger towards Chief Minister Abdul Malik Baloch ""growing and often uncontrollable"". Baloch militants have taken some reconciliation offers from the government and offered to hand in their weapons. In April 2016, four militant commanders and 144 militants had surrendered under reconciliation. 600 rebels were killed and 1,025 surrendered after accepting reconciliation as of August 2016. In April 2017, another 500 Baloch rebels surrendered to the state, including members of BRA, UBA, and LeB.Baloch separatists argue they are economically marginalised and poor compared to the rest of Pakistan. Being crucial for Pakistan's economic future, China has invested $46 billion in the region. The Balochistan Liberation Army, designated as a terrorist organisation by Pakistan and Britain, is the most widely known Baloch separatist group. Since 2000 it has conducted numerous deadly attacks on Pakistani troops, police, and civilians. Other separatist groups include Lashkar-e-Balochistan and the Baloch Liberation United Front (BLUF).In 2005, a rebellion by Baloch against the Islamic Republic of Iran began. The fight over the IRI Baloch region bordering Pakistan has ""not gained"" as much ground as the conflict in Pakistan. Human rights activists have accused nationalist militants and the Government of Pakistan of human rights abuses.The News International reported in 2012 that a Gallup survey conducted for DFID revealed that the majority of Baloch do not support independence from Pakistan. Only 37 percent of Baloch were in favour of independence. Amongst Balochistan's Pashtun population support for independence was even lower at 12 percent. However, a majority (67 percent) of Balochistan's population did favour greater provincial autonomy. The government has since taken democratisation steps, in 2013 provincial elections were held and a Grand Alliance of the Pakistan Muslim League (N) and Pashtun and Baloch local parties were formed. The Supreme court ordered local government elections to be held which by 2015 helped to further decentralise policy making for local population regarding health, education and sanitation, the ruling coalition re-affirmed its mandate in the Balochistan province and won the majority.",https://en.wikipedia.org/wiki/Balochistan_conflict
Arab–Israeli conflict,1948–present,"The Arab–Israeli conflict refers to the political tension, military conflicts and disputes between a number of Arab countries and Israel. The roots of the Arab–Israeli conflict are attributed to the rise of Zionism and Arab nationalism towards the end of the 19th century. Part of the dispute arises from the conflicting claims to the land. Territory regarded by the Jewish people as their ancestral homeland is at the same time regarded by the Pan-Arab movement as historically and currently belonging to the Palestinians, and in the Pan-Islamic context, as Muslim lands.
The sectarian conflict between Palestinian Jews and Arabs emerged in the early 20th century, peaking into a full-scale civil war in 1947 and transforming into the First Arab–Israeli War in May 1948, following the Israeli Declaration of Independence. Large-scale hostilities mostly ended with the cease-fire agreements after the 1973 Yom Kippur War. Peace agreements were signed between Israel and Egypt in 1979, resulting in Israeli withdrawal from the Sinai Peninsula and abolishment of the military governance system in the West Bank and Gaza Strip, in favor of Israeli Civil Administration and consequent unilateral annexation of the Golan Heights and East Jerusalem.
The nature of the conflict has shifted over the years from the large-scale, regional Arab–Israeli conflict to a more local Israeli–Palestinian conflict, which peaked during the 1982 Lebanon War. With the decline of the First Palestinian Intifada, the interim Oslo Accords led to the creation of the Palestinian National Authority in 1994, within the context of the Israeli–Palestinian peace process. The same year Israel and Jordan reached a peace accord. A cease-fire has been largely maintained between Israel and Baathist Syria, as well as with Lebanon since 2006. Despite the peace agreements with Egypt and Jordan, interim peace accords with the Palestinian Authority and the generally existing cease-fire, until mid-2010s the Arab League and Israel had remained at odds with each other over many issues.
Developments in the course of the Syrian Civil War reshuffled the situation near Israel's northern border, putting the Syrian Arab Republic, Hezbollah and the Syrian opposition at odds with each other and complicating their relations with Israel, upon the emerging warfare with Iran. The conflict between Israel and Hamas-ruled Gaza, is also attributed to the Iran–Israel proxy conflict in the region. By 2017, Israel and several Arab Sunni states led by Saudi Arabia, formed a semi-official coalition to confront Iran - a move which some marked as the fading of the Arab-Israeli Conflict.",https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict
Korean War,1950–1953,"The Korean War (in South Korean Korean: 한국전쟁; Hanja: 韓國戰爭; RR: Hanguk Jeonjaeng, ""Korean War""; in North Korean Korean: 조국해방전쟁; Hanja: 祖國解放戰爭; MR: Choguk haebang chŏnjaeng, ""Fatherland: Liberation War""; 25 June 1950 – 27 July 1953) was a war between North Korea (with the support of China and the Soviet Union) and South Korea (with the support of the United Nations, with the principal support from the United States (US)). The war began on 25 June 1950 when North Korea invaded South Korea following a series of clashes along the border.As a product of the Cold War between the Soviet Union and the United States, Korea had been split into two sovereign states in 1948 with the border set at the 38th parallel. A socialist state was established in the north under the communist leadership of Kim Il-sung and a capitalist state in the south under the anti-communist leadership of Syngman Rhee. Both governments of the two new Korean states claimed to be the sole legitimate government of all of Korea, and neither accepted the border as permanent. The conflict escalated into warfare when North Korean military (KPA) forces—supported by the Soviet Union and China—crossed the border and advanced into South Korea on 25 June 1950. The United Nations Security Council authorized the formation of the United Nations Command and the dispatch of forces to Korea to repel what was recognized as a North Korean invasion. Twenty-one countries of the United Nations eventually contributed to the UN force, with the United States providing around 90% of the military personnel.After the first two months of war, the ill-equipped and underprepared South Korean Army (ROKA) and the US forces rapidly dispatched to Korea were on the point of defeat, forced back to a small area behind a defensive line known as the Pusan Perimeter. In September 1950, an amphibious UN counter-offensive was launched at Incheon, and cut off many KPA troops in South Korea. Those who escaped envelopment and capture were forced back north. UN forces invaded North Korea in October 1950 and moved rapidly towards the Yalu River—the border with China—but on 19 October 1950, Chinese forces of the People's Volunteer Army (PVA) crossed the Yalu and entered the war. The surprise Chinese intervention triggered a retreat of UN forces back below the 38th Parallel by late December.
In these and subsequent battles, Seoul changed hands four times, and the last two years of fighting became a war of attrition, with the front line close to the 38th Parallel. The war in the air, however, was never a stalemate. North Korea was subject to a massive bombing campaign. Jet fighters confronted each other in air-to-air combat for the first time in history, and Soviet pilots covertly flew in defense of their communist allies.
The fighting ended on 27 July 1953, when the Korean Armistice Agreement was signed. The agreement created the Korean Demilitarized Zone (DMZ) to separate North and South Korea, and allowed the return of prisoners. However, no peace treaty was ever signed, and according to some sources the two Koreas are technically still at war, engaged in a frozen conflict. In April 2018, the leaders of North and South Korea met at the DMZ and agreed to work towards a treaty to formally end the Korean War.",https://en.wikipedia.org/wiki/Korean_War
